czone,has_insurance,cs_frac_black,cs_frac_hisp,gt_hs_educ,has_medicaid,hosp_beds,inctot,median_house_value,occupancy,physical_disab,poor_share,pymt_charity_patients,reimb_penroll_adj10,share_hosp_forprofit,share_hosp_teaching,uncomp_charity_patients
1701,0.9246494631561174,0.23015918731689453,0.06113330841064453,0.37559056282043457,0.08277850398237717,3745.196228027344,10.322695102455226,188910.9327137494,0.5431205034255981,0.07910069078207016,0.10731906443834303,6250656.386230469,8857.6728515625,0.2998439719279607,0.4000000059604645,178761818.80208334
1702,0.9079529046259338,0.4993166732788086,0.03613768577575683,0.3234919011592865,0.10641680122954764,91,10.093259630934574,108830.22133104075,0.6484183073043823,0.10683470219373704,0.20173379778862,142198.42708333334,7706.0322265625,1,0,1009140.5
1800,0.8866710944377063,0.31101354598999026,0.08765103340148926,0.3882794976234436,0.12112576422760352,368.0995559692383,10.317388486552272,109293.47648068667,0.48722073435783386,0.08916132897138596,0.161081925034523,1264224.9200846355,9661.84375,0,0.11111111442248028,18685509.729166668
1900,0.8883280565466468,0.25611230850219724,0.044102444648742675,0.3327176868915558,0.09067277430461684,1450.9314880371094,10.258685925625343,127224.13177944698,0.6260578036308289,0.09213649481534958,0.15397240221500397,12878558.870117188,9045.5576171875,0,0.20000000298023224,22826310.729166668
2000,0.8992446471737648,0.30820087432861326,0.030751214027404786,0.3651376962661743,0.06269655397157575,2091.3290729522705,10.342686897159544,146902.73980778936,0.6512695948282877,0.07261592149734497,0.11257222294807434,5087479.115885417,8985.0595703125,0,1,68276490.58333333
2100,0.8881816254667187,0.2876360321044922,0.026091647148132325,0.2972048819065094,0.0935102386995388,201.04430643717447,10.153764631203288,124964.45290802524,0.35723647475242615,0.0975332260131836,0.17042820155620575,1296233.6345443726,8275.3544921875,0.5,0,5207898.403645833
2200,0.8793763200572856,0.3982645797729492,0.013315722942352295,0.3241038918495178,0.0939918092137218,510.8123881022136,10.209507201597354,101445.0337970993,0.46862317125002545,0.09100143611431122,0.17029434442520142,93929.15625,8439.439453125,0,0,7954842.333333333
2300,0.8891135059505613,0.18070039749145508,0.009522517919540403,0.35253429412841797,0.0786555335878485,370,10.216032847373762,133388.45724259704,0.44728222489356995,0.093574628233909607,0.11371888220310213,485677.1484375,8281.48828125,0,0.5,16916255.875
2400,0.9356343601953268,0.3025393486022949,0.02274003267288208,0.3919484913349152,0.06352630337562272,3243.5464375813804,10.432241786947298,151892.43245039624,0.6155059337615967,0.0689363107085228,0.09292187541723251,11664409.831054688,8714.4970703125,0.5521566073099772,0.6111111243565878,94439099.91666669
2500,0.935538399274116,0.31579702377319335,0.027416818141937256,0.3807579576969147,0.08265770084458371,931.5570780436198,10.386068969077956,154104.73978243978,0.5109123090902964,0.06769728660583496,0.10589499026536942,1229289.7291666667,8022.82275390625,0.20000000298023224,0.4000000059604645,65910841.75
