inctot,has_insurance
-8276.7288,.87326003
7013.8725,.91402195
15257.988,.92187294
22379.042,.94230281
28824.391,.95366747
35444.249,.96038114
43774.48,.96875768
55709.994,.97875795
75950.811,.98590973
179664.23,.99444755
