inctot,has_insurance
-2283.0531,.84757376
7104.6596,.9172031
13471.088,.94093638
18929.095,.94454976
25125.712,.9522589
32715.321,.96115719
42350.909,.97202346
55413.217,.97896656
77400.034,.98610248
185687.09,.99316398
